algorithm,seed,silhouette,mutation_rate,pop_size,inertia_weight,n_particles,evaporation_rate,n_ants
PSO,15,0.35855099722909256,,,0.5,30.0,,
PSO,16,0.35881346365281586,,,0.5,30.0,,
PSO,17,0.33547192894004574,,,0.5,30.0,,
PSO,18,0.34915516113898126,,,0.5,30.0,,
PSO,19,0.3542934535279828,,,0.5,30.0,,
PSO,20,0.35486781130673495,,,0.5,30.0,,
PSO,21,0.33547192894004574,,,0.5,30.0,,
PSO,22,0.35542110074319566,,,0.5,30.0,,
PSO,23,0.3550997632045043,,,0.5,30.0,,
PSO,24,0.3552630930324675,,,0.5,30.0,,
PSO,25,0.3597301183775983,,,0.5,30.0,,
PSO,26,0.3597301183775983,,,0.5,30.0,,
PSO,27,0.3546519571158029,,,0.5,30.0,,
PSO,28,0.35268405543394665,,,0.5,30.0,,
PSO,29,0.35881346365281586,,,0.5,30.0,,
PSO,0,0.35469876853204285,,,0.5,40.0,,
PSO,1,0.3596957982799809,,,0.5,40.0,,
PSO,2,0.3493557490926679,,,0.5,40.0,,
PSO,3,0.33547192894004574,,,0.5,40.0,,
PSO,4,0.3547389991868911,,,0.5,40.0,,
PSO,5,0.3597301183775983,,,0.5,40.0,,
PSO,6,0.33547192894004574,,,0.5,40.0,,
PSO,7,0.3597301183775983,,,0.5,40.0,,
PSO,8,0.3593438513010659,,,0.5,40.0,,
PSO,9,0.33547192894004574,,,0.5,40.0,,
PSO,10,0.3521868043752964,,,0.5,40.0,,
PSO,11,0.35944409042187786,,,0.5,40.0,,
PSO,12,0.3588105027282586,,,0.5,40.0,,
PSO,13,0.3596957982799809,,,0.5,40.0,,
PSO,14,0.3595313549783144,,,0.5,40.0,,
PSO,15,0.35542110074319566,,,0.5,40.0,,
PSO,16,0.35881346365281586,,,0.5,40.0,,
PSO,17,0.3588105027282586,,,0.5,40.0,,
PSO,18,0.3556016417079703,,,0.5,40.0,,
PSO,19,0.3514993502308177,,,0.5,40.0,,
PSO,20,0.35046241728761685,,,0.5,40.0,,
PSO,21,0.334924046990468,,,0.5,40.0,,
PSO,22,0.35516747408547616,,,0.5,40.0,,
PSO,23,0.3550997632045043,,,0.5,40.0,,
PSO,24,0.35486340579500186,,,0.5,40.0,,
PSO,25,0.3595989301252757,,,0.5,40.0,,
PSO,26,0.35881346365281586,,,0.5,40.0,,
PSO,27,0.35881346365281586,,,0.5,40.0,,
PSO,28,0.3588105027282586,,,0.5,40.0,,
PSO,29,0.3597301183775983,,,0.5,40.0,,
PSO,0,0.3551992008823547,,,0.7,20.0,,
PSO,1,0.3580529210257146,,,0.7,20.0,,
PSO,2,0.35486781130673495,,,0.7,20.0,,
PSO,3,0.33547192894004574,,,0.7,20.0,,
PSO,4,0.3581088052361604,,,0.7,20.0,,
PSO,5,0.3523268296331244,,,0.7,20.0,,
PSO,6,0.34977230118134117,,,0.7,20.0,,
PSO,7,0.3597301183775983,,,0.7,20.0,,
PSO,8,0.3564559290933918,,,0.7,20.0,,
PSO,9,0.35560787448515213,,,0.7,20.0,,
PSO,10,0.33547192894004574,,,0.7,20.0,,
PSO,11,0.35301817618434694,,,0.7,20.0,,
PSO,12,0.35301309907280726,,,0.7,20.0,,
PSO,13,0.35952038374773243,,,0.7,20.0,,
PSO,14,0.35643304328054326,,,0.7,20.0,,
PSO,15,0.3597301183775983,,,0.7,20.0,,
PSO,16,0.3595989301252757,,,0.7,20.0,,
PSO,17,0.35516747408547616,,,0.7,20.0,,
PSO,18,0.33547192894004574,,,0.7,20.0,,
PSO,19,0.35389376198357214,,,0.7,20.0,,
PSO,20,0.3501946917566599,,,0.7,20.0,,
PSO,21,0.3597301183775983,,,0.7,20.0,,
PSO,22,0.35542110074319566,,,0.7,20.0,,
PSO,23,0.35487311890207734,,,0.7,20.0,,
PSO,24,0.35469876853204285,,,0.7,20.0,,
PSO,25,0.3508897863930099,,,0.7,20.0,,
PSO,26,0.35516747408547616,,,0.7,20.0,,
PSO,27,0.3554133498902587,,,0.7,20.0,,
PSO,28,0.35880977401117803,,,0.7,20.0,,
PSO,29,0.35548650870130144,,,0.7,20.0,,
PSO,0,0.35486340579500186,,,0.7,30.0,,
PSO,1,0.3596957982799809,,,0.7,30.0,,
PSO,2,0.3597301183775983,,,0.7,30.0,,
PSO,3,0.33547192894004574,,,0.7,30.0,,
PSO,4,0.3595989301252757,,,0.7,30.0,,
PSO,5,0.3597301183775983,,,0.7,30.0,,
PSO,6,0.3336081200189355,,,0.7,30.0,,
PSO,7,0.3597301183775983,,,0.7,30.0,,
PSO,8,0.35952038374773243,,,0.7,30.0,,
PSO,9,0.3597301183775983,,,0.7,30.0,,
PSO,10,0.35694568479647953,,,0.7,30.0,,
PSO,11,0.3597301183775983,,,0.7,30.0,,
PSO,12,0.3565053776065677,,,0.7,30.0,,
PSO,13,0.35445373803069197,,,0.7,30.0,,
PSO,14,0.3597301183775983,,,0.7,30.0,,
PSO,15,0.3593085939404446,,,0.7,30.0,,
PSO,16,0.3597301183775983,,,0.7,30.0,,
PSO,17,0.3297647409983043,,,0.7,30.0,,
PSO,18,0.33547192894004574,,,0.7,30.0,,
PSO,19,0.35560787448515213,,,0.7,30.0,,
PSO,20,0.3542552697161669,,,0.7,30.0,,
PSO,21,0.33547192894004574,,,0.7,30.0,,
PSO,22,0.33547192894004574,,,0.7,30.0,,
PSO,23,0.35486781130673495,,,0.7,30.0,,
PSO,24,0.35544923434923104,,,0.7,30.0,,
PSO,25,0.3597301183775983,,,0.7,30.0,,
PSO,26,0.3588105027282586,,,0.7,30.0,,
PSO,27,0.35560787448515213,,,0.7,30.0,,
PSO,28,0.35550895578004543,,,0.7,30.0,,
PSO,29,0.3588105027282586,,,0.7,30.0,,
PSO,0,0.353663614321231,,,0.7,40.0,,
PSO,1,0.3597301183775983,,,0.7,40.0,,
PSO,2,0.3420644498521693,,,0.7,40.0,,
PSO,3,0.3597301183775983,,,0.7,40.0,,
PSO,4,0.35340652476719014,,,0.7,40.0,,
PSO,5,0.3596957982799809,,,0.7,40.0,,
PSO,6,0.35214413640221637,,,0.7,40.0,,
PSO,7,0.3597301183775983,,,0.7,40.0,,
PSO,8,0.3595313549783144,,,0.7,40.0,,
PSO,9,0.35433293763323626,,,0.7,40.0,,
PSO,10,0.35286925847667894,,,0.7,40.0,,
PSO,11,0.3596957982799809,,,0.7,40.0,,
PSO,12,0.3597301183775983,,,0.7,40.0,,
PSO,13,0.35908257406790084,,,0.7,40.0,,
PSO,14,0.35952038374773243,,,0.7,40.0,,
PSO,15,0.3552630930324675,,,0.7,40.0,,
PSO,16,0.3597301183775983,,,0.7,40.0,,
PSO,17,0.35949221143242605,,,0.7,40.0,,
PSO,18,0.3524397099955378,,,0.7,40.0,,
PSO,19,0.3546004582661844,,,0.7,40.0,,
PSO,20,0.3596957982799809,,,0.7,40.0,,
PSO,21,0.33190936946821237,,,0.7,40.0,,
PSO,22,0.3596957982799809,,,0.7,40.0,,
PSO,23,0.35542110074319566,,,0.7,40.0,,
PSO,24,0.34861750528159857,,,0.7,40.0,,
PSO,25,0.3597301183775983,,,0.7,40.0,,
PSO,26,0.35949221143242605,,,0.7,40.0,,
PSO,27,0.35881346365281586,,,0.7,40.0,,
PSO,28,0.3583890230781026,,,0.7,40.0,,
PSO,29,0.3597301183775983,,,0.7,40.0,,
PSO,0,0.18388671853109875,,,0.9,20.0,,
PSO,1,0.21959873075505368,,,0.9,20.0,,
PSO,2,0.34994517558991584,,,0.9,20.0,,
PSO,3,0.33649428023306455,,,0.9,20.0,,
PSO,4,0.1541883694556121,,,0.9,20.0,,
PSO,5,0.3140231459534351,,,0.9,20.0,,
PSO,6,0.24468093596197854,,,0.9,20.0,,
